ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and time of your visit,Does this house shows clear signs of housing decay conditions?,Roof,Exterior Walls,Front yard,Foundation,Roof Notes,Number of structures,Other - Number of structures,Occupancy status,Other - Occupancy status,Property type,Other - Property type,Number of stories (main structure),Current Use,Other - Current Use,Type of residential structure,Other - Type of residential structure,Does the property appear to be historic or have historic use?,Other - Does the property appear to be historic or have historic use?,Does the property shows “rascuache” elements?,Other - Does the property shows “rascuache” elements?,Foundation type,Other - Foundation type,Is there a basement?,Foundation Observations,Other - Foundation Observations,Assessment Score - Foundation,First floor height in feet,Roof type,Other roof system (please specify) - Roof type,Roof finishes,Roof material,Other - Roof material,Roof composition,Roof color,Assessment Score - Roof,Number of structures,Other - Number of structures,Describe the signs that make you suggest that this is an abandoned property,Does the property appear to be historic or have historic use?,Other - Does the property appear to be historic or have historic use?,Are there additional roof elements attached to the main roof structure?,Type of pitch roof,Other - Roof color,Gutters and downspouts,Other - Gutters and downspouts,Gutter conditions,Gutter Location,Elbows,Downspouts Location,Splash block or hard surface nearby downspouts,Adequate slope/outward slope or drainage nearby downspouts,Gutters and Downspouts - Observations,Other - Gutters and Downspouts - Observations,Gutters and Downspouts - Assessment score,Other - Are there additional roof elements attached to the main roof structure?,Other - Type of pitch roof,Wall Structure/Veneer,Other - Wall Structure/Veneer,"If paint layer added, specify the color","Other - If paint layer added, specify the color",Insulation,Walls overall Observations,Other - Walls overall Observations,Assessment score - Walls' structural integrity,Assessment score - Coating condition,Assessment score - Walls overall,Windows function,Other - Windows function,Windows appearance,Other - Windows appearance,Are there any missing windows?,Other - Are there any missing windows?,Windows type,Other - Windows type,Windows material,Window assembly,Other - Window assembly,"Window/façade ratio (North, East, South, West)",Additional Elements,Other - Additional Elements,Are the windows recycled?,Other - Are the windows recycled?,Windows Observations,Other - Windows Observations,Window condition - Assembly,Window condition - Frames,Window condition - Coating,Window assessment score - overall, Type of doors,Other -  Type of doors,Door materials,Other - Door materials,Other door elements,Other - Other door elements,Are there any recycled doors?,Other - Are there any recycled doors?,Doors Observations,Other - Doors Observations,Door condition - Structural Integrity,Door condition - coating,Door assessment score - overall,Type of system present,Other - Type of system present,What is the ratio of AC units to Windows?,Are there any signs of recent installation of mechanical systems?,Other - Are there any signs of recent installation of mechanical systems?,Mechanical Systems Observations,Other - Mechanical Systems Observations,Mechanical Systems Assessment Score - Overall,Fence type,Other - Fence type,Fence Observations,Fence assessment score,Hardscape type,Other - Hardscape type,Does hardscape allows for correct drainage?,Hardcape assessment score,Landscape type,Landscape - Number of trees,Landscape Observations,Other - Landscape Observations,Landscape assessment score,Rank the home elements that require attention from the highest to the lowest priority,Rate the overall home condition,Roof observations,Windows type ,Other - Windows type ,Fence Observations,Multiple separated structures ,Other - Roof observations,Respondent's Name,Other - Respondent's Name,Address ID Number,Are you able to survey this address?,Reason,x,y
9,3f4a4604-3d0f-4d43-910f-343541d07963,1/19/2024 10:49:51 PM,,2/21/2024 6:11:22 PM,esteban.lopezochoa_utsa,1/19/2024 10:01:00 PM,,,,,,,,,Vacant (not in the market),,Commercial_,,1,other,Vacant,,,,,Yes,,Slab on grade,,No,other,None,Good,1,Flat,,,"Wood_shingles,other",Cement and gravel ,100% cement,Light grey / Silver,Good,Single structure,,,"Yes, historic property without",,other,,,Yes,,Severe,All_roof_sides_have_gutters,All_roof_sides_have_elbows,No_downspouts,No,Yes,"No_gutters_downspouts_and_hard_,other,Inadequate_roof_drainage:_E.g._",Roof slopes so water runs down slope,Severe,Flat canopy like roof before entrance,,Brick,,Light Grey/Silver,,,other,Walls in good condition,Good,Fair,Fair,Cannot tell,,Modern/Recent,,Yes,,,,"Wood,Aluminium",Single pane,,"50%, 25%, 0%, 25%",Iron_Bars,,,,"Empty_casements_that_are_expose,Isolated_damage_that_can_be_rep",,Severe,Severe,Severe,Severe,Solid exterior doors,,Wood,,Iron gates,,,,Rooted_broken_or_missing_parts?,,Fair,Fair,Fair,other,Missing window units,2-4,No,,other,No window units,Disagree,None,,,,other,Concrete,Yes,Fair,Grass,5,"Overgrown_grass/weeds_(severe),Repurposed_seating,Indoor_furniture_or_appliances_",,Severe,"Windows,Gutters_&_Downspouts,Mechanical_Systems,Landscape,Hardscape,Doors,Roof,Trees,Fence,Exterior_walls,Foundations",5,other,Single-hung,,,,,Leticia Sánchez,,512220,Yes,,-98.5245259937463,29.4191449924455
10,58e6b232-76bc-4b83-8545-379bf64eeee6,1/19/2024 10:53:01 PM,,2/21/2024 7:55:10 PM,esteban.lopezochoa_utsa,1/19/2024 10:08:00 PM,,,,,,,,,other,Negocio smoke BBQ Soon,Commercial_,,1,Commercial,,,,,,No,,Slab on grade,,No,other,No se observa porq tiene Rómulo’s,,1.5,Pitched,,,Metal,,100 % metal,Light grey / Silver,Good,Single structure,,,Not historic (if built after 19,,,Gabble_Roof,,Yes,,Good,No_gutters,No_elbows,No_downspouts,No,No,No_gutters_downspouts_and_hard_,,Fair,,,Mixed_Materials_(two_or_more_fr,,other,Mostaza/Amarillo ,,,,Good,Good,Good,Cannot tell,,Cannot tell,,Cannot tell,,,,Steel,Single pane,,N: 20%,,,,,other,No se puede observer,Good,Good,Good,Good,Solid exterior doors,,Wood,,other,Es doble puerta,,,other,No se observa,Good,Good,Good,Window_AC_units,,1,Yes,,other,Nuevo,Good,Wood_,,,Good,other,Cemento y tierra,Cannot tell,Good,Perennial_tree,3,other,Arnold’s muy altos ,Good,"Gutters_&_Downspouts,Roof,Doors,Landscape,Exterior_walls,Trees,Hardscape,Foundations,Fence,Mechanical_Systems,Windows",9,Roof_has_minor_issues_or_old_–_,other,No se puede determinar ,,,,,,644347,Yes,,-98.5225756991834,29.4192059653946
11,706afdf3-3bb9-4a45-9f23-b9b18ca66049,1/19/2024 10:58:17 PM,,2/21/2024 8:07:06 PM,esteban.lopezochoa_utsa,1/19/2024 9:48:00 PM,,,,,,,,,Occupied,,Single family home,,1,Residential,,Detached (standalone),,,,Yes,,Pier and beam,,No,"Poor_drainage_around_the_house_,Cracks_on_walls_and_or_porch_(s,other,Wood_siding_is_not_leveled_(sev",Front stairs sloping,Severe,3,Pitched,,,Asphalt_shingles,,"90%, 10metal",other,Fair,Single structure,,,"Yes, historic property without",,"Porch,Canopies",Gabble_Roof,Brick red,Yes,,Fair,Some_roof_sides_have_gutters,No_elbows,No_downspouts,No,No,"Localized_roof_drainage_issues_,Some_roof_attachments_need_repl",,Fair,,,Wood_siding_(board_and_batten_/,,Dark Grey/Red/Blue,,,No_issues,,Good,Good,Good,Cannot tell,,Historic/Old,,No,,,,Wood,Single pane,,"Norte 30%, 40% wést, 50% south, 40% east ","Iron_Bars,Screens,other",Window shades- historical ,,,Isolated_damage_that_can_be_rep,,Fair,Fair,Good,Fair,Solid exterior doors,,Wood,,Screens,,,,other,Have other door material in back ,Good,Good,Good,Window_AC_units,,3-12,No,,"No_issues,System_operable_with_loud/stran",,Fair,Chain-link,,,Fair,Stone/Flagstone,,No,Fair,"Grass,Deciduous_tree",9,"other,Indoor_furniture_or_appliances_,Dead/rotten_trees_(severe)","Trailer and building material, scrapmetal",Severe,"Foundations,Gutters_&_Downspouts,Roof,Exterior_walls,Mechanical_Systems,Windows,Doors,Trees,Fence,Landscape,Hardscape",7,"Missing_or_cracked_shingles_–_s,Roof_has_minor_issues_or_old_–_",Single-hung,,Leaned_or_slanted_(severe),,,Graciela Sánchez,,643206,Yes,,-98.5211210132193,29.4188460099595
12,e06ed35e-6b75-4f3b-8905-47787e1e135b,1/19/2024 11:14:35 PM,,2/21/2024 5:19:51 PM,esteban.lopezochoa_utsa,1/19/2024 10:15:00 PM,,,,,,,,,Occupied,,Commercial_,,2,Commercial,,,,,,Yes,,Slab on grade,,No,Cracks_on_walls_and_or_porch_(s,,Fair,3,Pitched,,,"Metal,Wood_shingles",,50% wood; 50%metal,other,Fair,Multiple separated structures,,,NA / Cannot tell,,,other,too high to tell,No,,,,,,,,other,no visible gutters or water damage. roof is sloped,Fair,,pitched roof with an additional shed with a flat roof connnected,"Wood_siding_(board_and_batten_/,Stucco,Mixed_Materials_(two_or_more_fr",,other,yellow and blue chipped paint,,"Holes_large_cracks_gaps_and_pen,other",,Severe,Severe,Severe,other,mix of operable and non operable windows,other,mix of historic and modern,Yes,,,,Vinyl,Double pane,,"North70%, East20%, West10%","Shutters,Screens,Iron_Bars",,,,"Empty_casements_that_are_expose,Isolated_damage_that_can_be_rep",,Severe,Severe,Severe,Severe,Solid exterior doors,,Aluminum,,Iron gates,,,,No_issues,,Good,Good,Good,Window_AC_units,,2 total ,Cannot tell,,other,cant tell,Good,Chain-link,,,Good,Gravel,,Yes,Good,None,2,No_issues,,Fair,"Exterior_walls,Windows,Mechanical_Systems,Gutters_&_Downspouts,Landscape,Roof,Trees,Doors,Foundations,Fence,Hardscape",7,"No_issues,other",other,some are double hung and others are covered by wooden panels,,2,cant really tell but the shed has a new metal roof,Luissana Santibañez,,644356,Yes,,-98.5222509775864,29.4189289908008
13,70a565fc-0635-4d51-b85c-7615df4078ab,1/19/2024 11:23:13 PM,,2/21/2024 6:08:57 PM,esteban.lopezochoa_utsa,1/19/2024 10:49:00 PM,,,,,,,,,Occupied,,Single family home,,1,Residential,,Detached (standalone),,,,No,,Pier and beam,,No,other,Does not appear to have foundation problem,Fair,2.5,Pitched,,,"Wood_shingles,Asphalt_shingles",,"90%wood, 10% ",other,Fair,Single structure,,,"Yes, historic property without",,"Canopies,Porch",Gabble_Roof,Yellow,No,,,,,,,,No_gutters_downspouts_and_hard_,,Severe,,,Vinyl_Siding_,,other,Yellow ,,Localized_loose_or_rotting_mate,,Fair,Good,Fair,Operable,,Modern/Recent,,No,,,,"Aluminium,Wood,Vinyl",Single pane,,"0%, 37.5%, 25%, 37.5%","Screens,Iron_Bars",,,,Isolated_damage_that_can_be_rep,,Fair,Fair,Fair,Fair,Glazed doors,,Wood,,other,None,,,other,None,Good,Good,Good,None,,,No,,other,None,Fair,Wrought Iron,,,Fair,other,Cement ,Yes,Fair,"Grass,Perennial_tree",4,Overgrown_grass/weeds_(severe),,Fair,"Gutters_&_Downspouts,Windows,Roof,Fence,Hardscape,Landscape,Trees,Exterior_walls,Doors,Mechanical_Systems,Foundations",7,No_issues,Single-hung,,Missing_or_chipped_paint_(fair),,,Leticia Sánchez,,512228,Yes,,-98.5245450206647,29.418872999687
14,be569251-a679-441a-ac69-bd8f1e23f053,1/19/2024 11:29:42 PM,,1/30/2024 10:47:37 PM,esteban.lopezochoa_utsa,1/19/2024 11:06:00 PM,,,,,,,,,Occupied,,Single family home,,1,Residential,,Detached (standalone),,,,No,,Pier and beam,,No,Floors_are_sloping_(severe),,Fair,2,Pitched,,,Clay_tiles,,100% Arcilla ,Light grey / Silver,Fair,Multiple separated structures,,,"Yes, historic with current hist",,Porch,Gabble_Roof,,No,,,,,,,,No_gutters_downspouts_and_hard_,,Severe,,,Wood_siding_(board_and_batten_/,,other,Crema,,"Holes_cracks_breaks_(severe),Poorly_attached_exterior_siding",,Fair,Fair,Severe,Operable,,Modern/Recent,,No,,,,Aluminium,Single pane,,"N:20; E:20%,S:20%,W:20%",,,,,other,Buenas condiciones ,Good,Good,Good,Good,Solid exterior doors,,Wood,,other,Sencilla ,,,other,Buenas condiciones,Good,Good,Good,Window_AC_units,,2,No,,other,Buenas condiciones ,Good,Steel/Metal,,,Fair,other,Cemento,No,Fair,Grass,0,Dead/rotten_trees_(severe),,Fair,"Foundations,Gutters_&_Downspouts,Trees,Fence,Hardscape,Landscape,Mechanical_Systems,Doors,Exterior_walls,Roof,Windows",7,other,Single-hung,,Leaned_or_slanted_(severe),2,,Ana Polanco,,644354,Yes,,-98.5225430030946,29.4186979855498
17,b06f9443-7578-473f-bb38-16019ca5191e,1/26/2024 10:18:56 PM,,2/21/2024 5:52:22 PM,esteban.lopezochoa_utsa,1/26/2024 10:17:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evangelina Villanueva,,644355,No,válido con yerba y árbol secos,-98.5226137898493,29.4186471310125
18,d98e00bd-f323-4e60-96fb-7c45b8d9d566,1/26/2024 10:20:50 PM,,2/21/2024 5:39:11 PM,esteban.lopezochoa_utsa,1/26/2024 10:18:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piotr Cholodecki (student),,512319,No,Demolished,-98.5274433989654,29.4191824971167
19,5989d1b1-d212-4ebc-887f-3405ba9c95c8,1/26/2024 10:46:43 PM,,2/21/2024 5:48:56 PM,esteban.lopezochoa_utsa,1/26/2024 10:19:00 PM,,,,,,,,,Occupied,,Single family home,,1,Residential,,Detached (standalone),,,,No,,Pier and beam,,No,other,minor cracks,Fair,1.5,Pitched,,,Asphalt_shingles,,"asphalt shingles, 90%; metal, 10%",Dark (Grey/ Red/Blue/Brown),Fair,Single structure,,,"Yes, historic property without",,Porch,Gabble_Roof,,No,,,,,,,,No_gutters_downspouts_and_hard_,,Severe,,,Wood_siding_(board_and_batten_/,,White/Whitish,,,Localized_loose_or_rotting_mate,,Good,Severe,Fair,Operable,,Modern/Recent,,No,,,,Aluminium,Single pane,,"20%,20%,10%","Iron_Bars,Screens",,,,Isolated_damage_that_can_be_rep,,Fair,Good,Good,Fair,Glazed doors,,Wood,,Screens,,,,No_issues,,Good,Good,Good,Window_AC_units,,1-2,No,,No_issues,,Good,Chain-link,,,Good,Brick,,Cannot tell,Good,"Grass,Deciduous_tree,Established_landscape/shrubs",4,"Non-functioned_vehicles_(non-re,Indoor_furniture_or_appliances_",,Good,"Roof,Gutters_&_Downspouts,Exterior_walls,Windows,Foundations,Hardscape,Mechanical_Systems,Fence,Doors,Trees,Landscape",7,Missing_or_cracked_shingles_–_s,Single-hung,,,,,Evangelina Villanueva,,644350,Yes,,-98.5231780160773,29.4187919885935
20,3f6fc281-42ec-498d-913c-ffc5a6e9f154,1/26/2024 10:48:17 PM,,1/26/2024 10:48:17 PM,,1/26/2024 10:16:00 PM,,,,,,,,,Occupied,,Commercial_,,1,Commercial,,,,,,No,,Slab on grade,,No,"Floors_are_sloping_(severe),Water_leaks_(fair)",,Fair,0,Pitched,,,Asphalt_shingles,,All asphalt shingles,Dark (Grey/ Red/Blue/Brown),Good,Single structure,,,"Yes, historic property without",,,Gabble_Roof,,No,,,,,,,,No_gutters_downspouts_and_hard_,,Severe,,,Wood_siding_(board_and_batten_/,,White/Whitish,,,Localized_loose_or_rotting_mate,,Fair,Fair,Fair,Operable,,Modern/Recent,,Yes,,,,Aluminium,Single pane,,"N:30 , E:10, S: 30; W:20","Trims,Iron_Bars,Screens",,,,No_issues,,Fair,Fair,Fair,Fair,Solid exterior doors,,Aluminum,,Iron gates,,,,Missing_or_chipped_paint_(fair),,Fair,Fair,Fair,"Mini-split,Window_AC_units",,2,Yes,,"Broken_or_missing_parts_(severe,Water_leaks_or_bad_odors_(fair)",,Fair,None,,,,Gravel,,No,Fair,None,0,No_issues,,Severe,"Landscape,Doors,Foundations,Trees,Gutters_&_Downspouts,Windows,Hardscape,Exterior_walls,Mechanical_Systems,Fence,Roof",6,No_issues,"Sliding_window,Single-hung",,,,,Sam Rueda (student),,1005628,Yes,,-98.52795997566,29.4189879994
